"Archive_Date","Specialty_HIPE","Speciality","Adult_Child","Age_Profile","Time_Bands","Total"
"31/01/2021","601.00","Paediatric ENT","Child","0-15"," 6-9 Months","292.00"
"31/01/2021","1302.00","Paediatric Neurology","Child","0-15","15-18 Months","22.00"
"31/01/2021","1302.00","Paediatric Neurology","Child","16-64","18 Months +","16.00"
"31/01/2021","1503.00","Gynaecology","Child","0-15"," 0-3 Months","62.00"
"31/01/2021","1503.00","Gynaecology","Child","0-15"," 6-9 Months","37.00"
"31/01/2021","1503.00","Gynaecology","Child","0-15"," 9-12 Months","31.00"
"31/01/2021","1503.00","Gynaecology","Child","16-64"," 3-6 Months","6.00"
"31/01/2021","1503.00","Gynaecology","Child","16-64","12-15 Months","1.00"
"31/01/2021","1700.00","Ophthalmology","Child","0-15","15-18 Months","223.00"
"31/01/2021","1700.00","Ophthalmology","Child","16-64","18 Months +","125.00"
"31/01/2021","1802.00","Paed Orthopaedic","Child","0-15","15-18 Months","377.00"
"31/01/2021","1802.00","Paed Orthopaedic","Child","0-15","18 Months +","1103.00"
"31/01/2021","1802.00","Paed Orthopaedic","Child","16-64"," 0-3 Months","17.00"
"31/01/2021","1802.00","Paed Orthopaedic","Child","16-64"," 9-12 Months","18.00"
"31/01/2021","1900.00","Paediatrics","Child","0-15","15-18 Months","107.00"
"31/01/2021","1900.00","Paediatrics","Child","16-64"," 0-3 Months","15.00"
"31/01/2021","1900.00","Paediatrics","Child","16-64","15-18 Months","4.00"
"31/01/2021","1900.00","Paediatrics","Child","16-64","18 Months +","35.00"
"31/01/2021","1902.00","Paed Cardiology","Child","0-15"," 0-3 Months","702.00"
"31/01/2021","1902.00","Paed Cardiology","Child","0-15"," 3-6 Months","554.00"
"31/01/2021","1902.00","Paed Cardiology","Child","0-15","12-15 Months","104.00"
"31/01/2021","1902.00","Paed Cardiology","Child","16-64"," 0-3 Months","23.00"
"31/01/2021","1902.00","Paed Cardiology","Child","16-64"," 6-9 Months","26.00"
"31/01/2021","1902.00","Paed Cardiology","Child","16-64"," 9-12 Months","20.00"
"31/01/2021","1902.00","Paed Cardiology","Child","16-64","12-15 Months","9.00"
"31/01/2021","1905.00","Paed Endocrinology","Child","16-64","15-18 Months","10.00"
"31/01/2021","1906.00","Paed Gastro-Enterol","Child","16-64","15-18 Months","6.00"
"31/01/2021","1907.00","Paed Haematology","Child","0-15"," 6-9 Months","28.00"
"31/01/2021","1910.00","Paed Metabolic Medicine","Child","16-64","18 Months +","2.00"
"31/01/2021","1911.00","Paed Nephrology","Child","0-15"," 6-9 Months","59.00"
"31/01/2021","1911.00","Paed Nephrology","Child","0-15"," 9-12 Months","48.00"
"31/01/2021","1911.00","Paed Nephrology","Child","0-15","18 Months +","41.00"
"31/01/2021","1911.00","Paed Nephrology","Child","16-64"," 0-3 Months","2.00"
"31/01/2021","1911.00","Paed Nephrology","Child","16-64"," 3-6 Months","1.00"
"31/01/2021","1911.00","Paed Nephrology","Child","16-64"," 9-12 Months","3.00"
"31/01/2021","1911.00","Paed Nephrology","Child","16-64","12-15 Months","2.00"
"31/01/2021","1912.00","Paediatric Respiratory Medicine","Child","0-15","15-18 Months","170.00"
"31/01/2021","1912.00","Paediatric Respiratory Medicine","Child","16-64","15-18 Months","11.00"
"31/01/2021","1915.00","Paediatric Dermatology","Child","0-15"," 0-3 Months","697.00"
"31/01/2021","1915.00","Paediatric Dermatology","Child","0-15"," 6-9 Months","325.00"
"31/01/2021","1915.00","Paediatric Dermatology","Child","0-15"," 9-12 Months","310.00"
"31/01/2021","1915.00","Paediatric Dermatology","Child","16-64"," 3-6 Months","14.00"
"31/01/2021","1915.00","Paediatric Dermatology","Child","16-64"," 6-9 Months","18.00"
"31/01/2021","1915.00","Paediatric Dermatology","Child","16-64","12-15 Months","21.00"
"31/01/2021","1916.00","Developmental Paediatrics","Child","0-15"," 6-9 Months","30.00"
"31/01/2021","2000.00","Plastic Surgery","Child","16-64","15-18 Months","10.00"
"31/01/2021","2000.00","Plastic Surgery","Child","16-64","18 Months +","37.00"
"31/01/2021","2102.00","Child/Adolescent Psychiatry","Child","16-64"," 0-3 Months","4.00"
"31/01/2021","2500.00","Rheumatology","Child","0-15"," 0-3 Months","118.00"
"31/01/2021","2500.00","Rheumatology","Child","0-15"," 9-12 Months","74.00"
"31/01/2021","2500.00","Rheumatology","Child","0-15","18 Months +","552.00"
"31/01/2021","2500.00","Rheumatology","Child","16-64"," 0-3 Months","4.00"
"31/01/2021","601.00","Paediatric ENT","Child","0-15"," 0-3 Months","603.00"
"31/01/2021","601.00","Paediatric ENT","Child","0-15"," 3-6 Months","458.00"
"31/01/2021","601.00","Paediatric ENT","Child","0-15","12-15 Months","676.00"
"31/01/2021","601.00","Paediatric ENT","Child","0-15","15-18 Months","560.00"
"31/01/2021","601.00","Paediatric ENT","Child","16-64"," 6-9 Months","9.00"
"31/01/2021","601.00","Paediatric ENT","Child","16-64","15-18 Months","26.00"
"31/01/2021","1302.00","Paediatric Neurology","Child","0-15","18 Months +","104.00"
"31/01/2021","1302.00","Paediatric Neurology","Child","16-64"," 0-3 Months","7.00"
"31/01/2021","1302.00","Paediatric Neurology","Child","16-64"," 3-6 Months","3.00"
"31/01/2021","1302.00","Paediatric Neurology","Child","16-64","15-18 Months","3.00"
"31/01/2021","1503.00","Gynaecology","Child","16-64"," 9-12 Months","1.00"
"31/01/2021","1700.00","Ophthalmology","Child","16-64"," 9-12 Months","8.00"
"31/01/2021","1802.00","Paed Orthopaedic","Child","0-15"," 9-12 Months","427.00"
"31/01/2021","1802.00","Paed Orthopaedic","Child","16-64","18 Months +","185.00"
"31/01/2021","1900.00","Paediatrics","Child","0-15"," 0-3 Months","1435.00"
"31/01/2021","1900.00","Paediatrics","Child","0-15","18 Months +","326.00"
"31/01/2021","1900.00","Paediatrics","Child","16-64"," 3-6 Months","18.00"
